date,country,cost,cost_type
2023-09-12,Chad,0.002472916666666667,whisper_price
2023-09-12,Chile,35.15692588708271,whisper_price
2023-09-12,China,0.008215400000000001,whisper_price
2023-09-12,Colombia,28.162539341113945,whisper_price
2023-09-12,Congo,0.2173934976190476,whisper_price
2023-09-12,Costa Rica,2.979395571655329,whisper_price
2023-09-12,Croatia,0.025269399999999997,whisper_price
2023-09-12,Cuba,0.15061145238095242,whisper_price
2023-09-12,Curaçao,0.0258347,whisper_price
2023-09-12,Czechia,0.005687783333333334,whisper_price
2023-09-12,Côte d'Ivoire,0.20755965022675735,whisper_price
2023-09-12,Denmark,0.0018617833333333335,whisper_price
2023-09-12,Dominican Republic,1.0829199381660999,whisper_price
2023-09-12,Ecuador,5.566015768367347,whisper_price
2023-09-12,Egypt,0.19277870000000003,whisper_price
2023-09-12,El Salvador,1.056710643579932,whisper_price
2023-09-12,Equatorial Guinea,0.009707783333333333,whisper_price
2023-09-12,Error: ,5.193015034339569,whisper_price
2023-09-12,Error: 'NoneType' object has no attribute 'name',0.05348010000000001,whisper_price
2023-09-12,Error: (0) Could not interpret numbers after plus-sign.,0.8026952718820862,whisper_price
2023-09-12,Eswatini,0.005990133333333333,whisper_price
2023-09-12,Faroe Islands,0.005601350000000001,whisper_price
2023-09-12,Fiji,0.0160847,whisper_price
2023-09-12,France,0.4479844637188208,whisper_price
2023-09-12,French Polynesia,0.021689783333333334,whisper_price
2023-09-12,Gabon,0.024160214285714285,whisper_price
2023-09-12,Germany,0.33390759410430837,whisper_price
2023-09-12,Ghana,0.0007615666666666667,whisper_price
2023-09-12,Greece,0.061839816666666665,whisper_price
2023-09-12,Guatemala,0.8789831204081633,whisper_price
2023-09-12,Guyana,0.032373349999999995,whisper_price
2023-09-12,Haiti,0.1322089166666667,whisper_price
2023-09-12,Honduras,0.8982962973265306,whisper_price
2023-09-12,Hong Kong,0.016373350000000002,whisper_price
2023-09-12,Hungary,0.10103198333333333,whisper_price
2023-09-12,India,0.6695235484126985,whisper_price
2023-09-12,Indonesia,1.3364863041666668,whisper_price
2023-09-12,Iran,0.005867133333333333,whisper_price
2023-09-12,Ireland,0.0779621,whisper_price
2023-09-12,Israel,1.0561646705924037,whisper_price
2023-09-12,Italy,1.3144239166666667,whisper_price
2023-09-12,Jamaica,0.014630700000000003,whisper_price
2023-09-12,Japan,0.10615513945578232,whisper_price
2023-09-12,Jordan,0.0010707000000000002,whisper_price
2023-09-12,Kazakhstan,0.032043833333333334,whisper_price
2023-09-12,Korea,0.02458488843537415,whisper_price
2023-09-12,Libya,0.05883156666666667,whisper_price
2023-09-12,Liechtenstein,0.0048207,whisper_price
2023-09-12,Lithuania,0.05003866666666667,whisper_price
2023-09-12,Luxembourg,0.0459287,whisper_price
2023-09-12,Malaysia,0.2929910040816327,whisper_price
2023-09-12,Mali,0.002396483333333333,whisper_price
2023-09-12,Malta,0.02909135,whisper_price
2023-09-12,Mexico,13.45025982527676,whisper_price
2023-09-12,Micronesia,0.0007253499999999999,whisper_price
2023-09-12,Monaco,0.009570700000000001,whisper_price
2023-09-12,Montenegro,0.00064335,whisper_price
2023-09-12,Morocco,1.4158993356292517,whisper_price
2023-09-12,Mozambique,0.05743457448979593,whisper_price
2023-09-12,Myanmar,0.053776316666666664,whisper_price
2023-09-12,Nepal,0.007473783333333333,whisper_price
2023-09-12,Netherlands,0.08221409693877552,whisper_price
2023-09-12,New Zealand,0.22010198958333335,whisper_price
2023-09-12,Nicaragua,0.20556977335600912,whisper_price
2023-09-12,Niger,0.014448403628117916,whisper_price
2023-09-12,Nigeria,0.04696005,whisper_price
2023-09-12,Norfolk Island,0.0018847000000000002,whisper_price
2023-09-12,North Macedonia,0.0031220500000000003,whisper_price
